Y_L(cm),	E(MeV),	YTheta_L(deg),	 A,	 dA,	 peL,	 dpeL,	 peR,	 dpeR
-60.00,	5.00,	-60.00,	-0.7695,	0.0017,	1.31,	0.01,	11.19,	0.03
-60.00,	5.00,	-40.00,	-0.6856,	0.0020,	1.72,	0.01,	10.25,	0.03
-60.00,	5.00,	-35.00,	-0.6604,	0.0021,	1.87,	0.01,	10.13,	0.03
-60.00,	5.00,	-30.00,	-0.6399,	0.0022,	2.01,	0.01,	10.07,	0.03
-60.00,	5.00,	-25.00,	-0.6048,	0.0023,	2.21,	0.01,	9.94,	0.03
-60.00,	5.00,	-20.00,	-0.5715,	0.0023,	2.43,	0.01,	9.82,	0.03
-60.00,	5.00,	-15.00,	-0.5149,	0.0025,	2.76,	0.01,	9.54,	0.03
-60.00,	5.00,	-10.00,	-0.4495,	0.0027,	3.10,	0.01,	9.13,	0.03
-60.00,	5.00,	-7.50,	-0.4078,	0.0028,	3.31,	0.02,	8.86,	0.03
-60.00,	5.00,	-5.00,	-0.3634,	0.0028,	3.50,	0.02,	8.52,	0.03
-60.00,	5.00,	-2.50,	-0.3164,	0.0029,	3.70,	0.02,	8.15,	0.03
-60.00,	5.00,	0.00,	-0.2593,	0.0030,	3.95,	0.02,	7.74,	0.03
-60.00,	5.00,	2.50,	-0.2125,	0.0031,	4.10,	0.02,	7.36,	0.03
-60.00,	5.00,	5.00,	-0.1519,	0.0032,	4.30,	0.02,	6.91,	0.03
-60.00,	5.00,	7.50,	-0.1032,	0.0032,	4.49,	0.02,	6.51,	0.03
-60.00,	5.00,	10.00,	-0.0494,	0.0032,	4.63,	0.02,	6.08,	0.03
-60.00,	5.00,	15.00,	0.0417,	0.0033,	4.84,	0.02,	5.33,	0.02
-60.00,	5.00,	20.00,	0.1143,	0.0033,	4.98,	0.02,	4.72,	0.02
-60.00,	5.00,	25.00,	0.1871,	0.0033,	5.12,	0.02,	4.17,	0.02
-60.00,	5.00,	30.00,	0.2419,	0.0033,	5.14,	0.02,	3.72,	0.02
-60.00,	5.00,	35.00,	0.2930,	0.0032,	5.22,	0.02,	3.35,	0.02
-60.00,	5.00,	40.00,	0.3350,	0.0032,	5.29,	0.02,	3.07,	0.02
-60.00,	5.00,	60.00,	0.5127,	0.0030,	5.76,	0.02,	2.11,	0.02
-60.00,	5.00,	80.00,	0.5616,	0.0037,	4.60,	0.02,	1.43,	0.01
-60.00,	10.00,	-80.00,	-0.8553,	0.0013,	1.86,	0.01,	27.70,	0.09
-60.00,	10.00,	-60.00,	-0.8314,	0.0011,	2.28,	0.01,	27.47,	0.06
-60.00,	10.00,	-40.00,	-0.7860,	0.0013,	2.29,	0.01,	20.70,	0.05
-60.00,	10.00,	-35.00,	-0.7762,	0.0014,	2.31,	0.01,	19.61,	0.05
-60.00,	10.00,	-30.00,	-0.7612,	0.0015,	2.44,	0.02,	19.15,	0.05
-60.00,	10.00,	-25.00,	-0.7426,	0.0016,	2.60,	0.02,	18.59,	0.04
