Y_L(cm),	E(MeV),	YTheta_L(deg),	 A,	 dA,	 peL,	 dpeL,	 peR,	 dpeR
-10.00,	100.00,	-80.00,	-0.9095,	0.0003,	9.38,	0.04,	187.65,	0.57
-10.00,	100.00,	-60.00,	-0.8900,	0.0006,	1.45,	0.01,	24.56,	0.07
-10.00,	100.00,	-40.00,	-0.8715,	0.0010,	0.83,	0.01,	11.17,	0.03
-10.00,	100.00,	-35.00,	-0.8770,	0.0010,	0.75,	0.01,	10.09,	0.03
-10.00,	100.00,	-30.00,	-0.8751,	0.0010,	0.76,	0.01,	10.13,	0.02
-10.00,	100.00,	-25.00,	-0.8988,	0.0009,	0.74,	0.01,	12.15,	0.03
-10.00,	100.00,	-20.00,	-0.9190,	0.0008,	0.68,	0.01,	13.94,	0.03
-10.00,	100.00,	-15.00,	-0.9219,	0.0008,	0.72,	0.01,	15.12,	0.03
-10.00,	100.00,	-10.00,	-0.8725,	0.0010,	1.11,	0.01,	14.38,	0.03
-10.00,	100.00,	-7.50,	-0.7721,	0.0013,	1.94,	0.01,	13.74,	0.03
-10.00,	100.00,	-5.00,	-0.4815,	0.0016,	4.89,	0.02,	13.16,	0.02
-10.00,	100.00,	-2.50,	-0.1955,	0.0015,	8.63,	0.02,	12.65,	0.02
-10.00,	100.00,	0.00,	-0.0578,	0.0014,	10.50,	0.02,	11.80,	0.02
-10.00,	100.00,	2.50,	0.0753,	0.0015,	11.32,	0.02,	9.91,	0.02
-10.00,	100.00,	5.00,	0.3662,	0.0018,	11.69,	0.02,	5.80,	0.02
-10.00,	100.00,	7.50,	0.7095,	0.0016,	11.86,	0.02,	2.26,	0.02
-10.00,	100.00,	10.00,	0.8388,	0.0012,	12.60,	0.02,	1.26,	0.01
-10.00,	100.00,	15.00,	0.9041,	0.0010,	13.31,	0.02,	0.80,	0.01
-10.00,	100.00,	20.00,	0.9048,	0.0009,	12.47,	0.02,	0.74,	0.01
-10.00,	100.00,	25.00,	0.8847,	0.0010,	10.82,	0.03,	0.76,	0.01
-10.00,	100.00,	30.00,	0.8537,	0.0012,	8.97,	0.02,	0.82,	0.01
-10.00,	100.00,	35.00,	0.8539,	0.0012,	8.83,	0.02,	0.80,	0.01
-10.00,	100.00,	40.00,	0.8545,	0.0011,	9.81,	0.03,	0.86,	0.01
-10.00,	100.00,	60.00,	0.8941,	0.0007,	22.26,	0.06,	1.30,	0.01
-10.00,	100.00,	80.00,	0.9039,	0.0003,	161.19,	0.48,	8.56,	0.04
-8.00,	5.00,	-80.00,	-0.7109,	0.0029,	1.03,	0.01,	6.43,	0.03
-8.00,	5.00,	-60.00,	-0.6882,	0.0022,	1.44,	0.01,	8.09,	0.02
-8.00,	5.00,	-40.00,	-0.5673,	0.0026,	2.02,	0.01,	7.45,	0.02
-8.00,	5.00,	-35.00,	-0.5340,	0.0027,	2.21,	0.01,	7.37,	0.02
-8.00,	5.00,	-30.00,	-0.5004,	0.0027,	2.41,	0.01,	7.28,	0.02
-8.00,	5.00,	-25.00,	-0.4554,	0.0028,	2.68,	0.02,	7.14,	0.02
-8.00,	5.00,	-20.00,	-0.4033,	0.0029,	2.98,	0.02,	7.01,	0.02
-8.00,	5.00,	-15.00,	-0.3377,	0.0030,	3.37,	0.02,	6.82,	0.02
-8.00,	5.00,	-10.00,	-0.2506,	0.0031,	3.86,	0.02,	6.45,	0.02
-8.00,	5.00,	-7.50,	-0.2002,	0.0032,	4.14,	0.02,	6.24,	0.02
-8.00,	5.00,	-5.00,	-0.1552,	0.0032,	4.37,	0.02,	6.04,	0.02
-8.00,	5.00,	-2.50,	-0.0910,	0.0032,	4.67,	0.02,	5.71,	0.02
-8.00,	5.00,	0.00,	-0.0293,	0.0033,	4.97,	0.02,	5.39,	0.02
-8.00,	5.00,	2.50,	0.0183,	0.0033,	5.19,	0.02,	5.15,	0.02
-8.00,	5.00,	5.00,	0.0740,	0.0032,	5.44,	0.02,	4.85,	0.02
-8.00,	5.00,	7.50,	0.1278,	0.0032,	5.66,	0.02,	4.53,	0.02
-8.00,	5.00,	10.00,	0.1787,	0.0032,	5.85,	0.02,	4.24,	0.02
-8.00,	5.00,	15.00,	0.2662,	0.0031,	6.12,	0.02,	3.70,	0.02
-8.00,	5.00,	20.00,	0.3366,	0.0031,	6.33,	0.02,	3.29,	0.02
-8.00,	5.00,	25.00,	0.3948,	0.0030,	6.47,	0.02,	2.93,	0.02
-8.00,	5.00,	30.00,	0.4419,	0.0029,	6.60,	0.02,	2.64,	0.02
-8.00,	5.00,	35.00,	0.4781,	0.0028,	6.67,	0.02,	2.41,	0.01
-8.00,	5.00,	40.00,	0.5235,	0.0028,	6.80,	0.02,	2.15,	0.01
-8.00,	5.00,	60.00,	0.6508,	0.0024,	7.33,	0.02,	1.56,	0.01
-8.00,	5.00,	80.00,	0.6799,	0.0031,	5.84,	0.02,	1.10,	0.01
-8.00,	10.00,	-80.00,	-0.8049,	0.0016,	1.89,	0.01,	19.07,	0.06
-8.00,	10.00,	-60.00,	-0.7697,	0.0014,	2.41,	0.01,	19.73,	0.05
-8.00,	10.00,	-40.00,	-0.7077,	0.0018,	2.52,	0.02,	15.06,	0.04
-8.00,	10.00,	-35.00,	-0.6896,	0.0019,	2.61,	0.02,	14.30,	0.04
-8.00,	10.00,	-30.00,	-0.6662,	0.0020,	2.77,	0.02,	13.74,	0.04
-8.00,	10.00,	-25.00,	-0.6327,	0.0022,	3.06,	0.02,	13.32,	0.03
-8.00,	10.00,	-20.00,	-0.5771,	0.0024,	3.54,	0.02,	12.89,	0.03
-8.00,	10.00,	-15.00,	-0.5056,	0.0026,	4.17,	0.02,	12.40,	0.03
-8.00,	10.00,	-10.00,	-0.3859,	0.0028,	5.21,	0.03,	11.58,	0.03
-8.00,	10.00,	-7.50,	-0.3097,	0.0029,	5.86,	0.03,	10.97,	0.03
-8.00,	10.00,	-5.00,	-0.2250,	0.0029,	6.59,	0.03,	10.38,	0.03
-8.00,	10.00,	-2.50,	-0.1375,	0.0030,	7.32,	0.03,	9.71,	0.03
-8.00,	10.00,	0.00,	-0.0390,	0.0030,	8.10,	0.03,	8.97,	0.03
-8.00,	10.00,	2.50,	0.0567,	0.0030,	8.81,	0.03,	8.16,	0.03
-8.00,	10.00,	5.00,	0.1497,	0.0030,	9.40,	0.03,	7.27,	0.03
-8.00,	10.00,	7.50,	0.2408,	0.0030,	9.99,	0.03,	6.47,	0.03
-8.00,	10.00,	10.00,	0.3220,	0.0029,	10.47,	0.03,	5.70,	0.03
-8.00,	10.00,	15.00,	0.4432,	0.0027,	11.19,	0.03,	4.60,	0.03
-8.00,	10.00,	20.00,	0.5325,	0.0025,	11.80,	0.03,	3.83,	0.02
-8.00,	10.00,	25.00,	0.5840,	0.0024,	12.11,	0.03,	3.35,	0.02
-8.00,	10.00,	30.00,	0.6246,	0.0022,	12.47,	0.03,	3.01,	0.02
-8.00,	10.00,	35.00,	0.6501,	0.0021,	13.02,	0.03,	2.83,	0.02
-8.00,	10.00,	40.00,	0.6694,	0.0020,	13.67,	0.04,	2.71,	0.02
-8.00,	10.00,	60.00,	0.7422,	0.0016,	17.92,	0.04,	2.54,	0.02
-8.00,	10.00,	80.00,	0.7790,	0.0018,	17.19,	0.05,	1.97,	0.01
-8.00,	50.00,	-80.00,	-0.9045,	0.0004,	6.34,	0.03,	123.62,	0.31
-8.00,	50.00,	-60.00,	-0.8951,	0.0007,	1.53,	0.01,	27.94,	0.11
-8.00,	50.00,	-40.00,	-0.8653,	0.0010,	0.89,	0.01,	11.19,	0.03
-8.00,	50.00,	-35.00,	-0.8742,	0.0011,	0.78,	0.01,	10.29,	0.03
-8.00,	50.00,	-30.00,	-0.8731,	0.0011,	0.79,	0.01,	10.25,	0.03
-8.00,	50.00,	-25.00,	-0.8945,	0.0010,	0.78,	0.01,	12.02,	0.03
-8.00,	50.00,	-20.00,	-0.9098,	0.0009,	0.75,	0.01,	13.70,	0.03
-8.00,	50.00,	-15.00,	-0.9007,	0.0009,	0.88,	0.01,	14.55,	0.03
-8.00,	50.00,	-10.00,	-0.8076,	0.0014,	1.67,	0.01,	13.97,	0.03
-8.00,	50.00,	-7.50,	-0.6809,	0.0017,	2.85,	0.02,	13.46,	0.03
-8.00,	50.00,	-5.00,	-0.4492,	0.0019,	5.25,	0.02,	12.83,	0.03
-8.00,	50.00,	-2.50,	-0.2190,	0.0018,	8.02,	0.02,	12.11,	0.02
-8.00,	50.00,	0.00,	-0.0490,	0.0017,	9.92,	0.02,	10.97,	0.02
-8.00,	50.00,	2.50,	0.1290,	0.0019,	11.06,	0.02,	8.89,	0.03
-8.00,	50.00,	5.00,	0.3660,	0.0020,	11.61,	0.02,	5.92,	0.02
-8.00,	50.00,	7.50,	0.6169,	0.0019,	12.03,	0.02,	3.26,	0.02
-8.00,	50.00,	10.00,	0.7739,	0.0015,	12.58,	0.02,	1.85,	0.02
-8.00,	50.00,	15.00,	0.8854,	0.0011,	13.21,	0.03,	0.93,	0.01
-8.00,	50.00,	20.00,	0.8971,	0.0010,	12.45,	0.02,	0.81,	0.01
-8.00,	50.00,	25.00,	0.8817,	0.0011,	11.01,	0.02,	0.80,	0.01
-8.00,	50.00,	30.00,	0.8597,	0.0012,	9.33,	0.02,	0.82,	0.01
-8.00,	50.00,	35.00,	0.8573,	0.0012,	9.19,	0.03,	0.81,	0.01
-8.00,	50.00,	40.00,	0.8508,	0.0011,	10.05,	0.03,	0.92,	0.01
-8.00,	50.00,	60.00,	0.8939,	0.0007,	25.52,	0.10,	1.46,	0.01
-8.00,	50.00,	80.00,	0.8978,	0.0004,	109.77,	0.27,	6.01,	0.03
-8.00,	100.00,	-80.00,	-0.9090,	0.0003,	9.27,	0.04,	184.45,	0.56
-8.00,	100.00,	-60.00,	-0.8914,	0.0006,	1.43,	0.01,	24.26,	0.07
-8.00,	100.00,	-40.00,	-0.8685,	0.0010,	0.85,	0.01,	11.04,	0.03
-8.00,	100.00,	-35.00,	-0.8732,	0.0011,	0.75,	0.01,	9.93,	0.03
-8.00,	100.00,	-30.00,	-0.8718,	0.0011,	0.77,	0.01,	10.01,	0.02
-8.00,	100.00,	-25.00,	-0.8971,	0.0009,	0.75,	0.01,	12.03,	0.03
-8.00,	100.00,	-20.00,	-0.9153,	0.0008,	0.70,	0.01,	13.78,	0.03
-8.00,	100.00,	-15.00,	-0.9200,	0.0008,	0.72,	0.01,	14.87,	0.03
-8.00,	100.00,	-10.00,	-0.8691,	0.0010,	1.13,	0.01,	14.18,	0.02
-8.00,	100.00,	-7.50,	-0.7684,	0.0013,	1.94,	0.01,	13.52,	0.02
-8.00,	100.00,	-5.00,	-0.4664,	0.0017,	4.97,	0.02,	12.90,	0.02
-8.00,	100.00,	-2.50,	-0.1838,	0.0015,	8.71,	0.02,	12.44,	0.02
-8.00,	100.00,	0.00,	-0.0460,	0.0014,	10.62,	0.02,	11.65,	0.02
-8.00,	100.00,	2.50,	0.0860,	0.0015,	11.42,	0.02,	9.77,	0.02
-8.00,	100.00,	5.00,	0.3789,	0.0018,	11.78,	0.02,	5.70,	0.02
-8.00,	100.00,	7.50,	0.7180,	0.0015,	12.04,	0.02,	2.21,	0.02
-8.00,	100.00,	10.00,	0.8442,	0.0012,	12.73,	0.02,	1.23,	0.01
-8.00,	100.00,	15.00,	0.9074,	0.0009,	13.51,	0.02,	0.78,	0.01
-8.00,	100.00,	20.00,	0.9084,	0.0009,	12.57,	0.02,	0.71,	0.01
-8.00,	100.00,	25.00,	0.8867,	0.0010,	10.94,	0.02,	0.76,	0.01
-8.00,	100.00,	30.00,	0.8592,	0.0012,	9.11,	0.02,	0.79,	0.01
-8.00,	100.00,	35.00,	0.8598,	0.0012,	8.94,	0.02,	0.77,	0.01
-8.00,	100.00,	40.00,	0.8583,	0.0011,	10.02,	0.03,	0.84,	0.01
-8.00,	100.00,	60.00,	0.8952,	0.0007,	22.36,	0.06,	1.30,	0.01
-8.00,	100.00,	80.00,	0.9046,	0.0003,	164.47,	0.49,	8.68,	0.04
-6.00,	5.00,	-80.00,	-0.7055,	0.0029,	1.04,	0.01,	6.37,	0.03
-6.00,	5.00,	-60.00,	-0.6890,	0.0022,	1.44,	0.01,	8.03,	0.02
-6.00,	5.00,	-40.00,	-0.5657,	0.0026,	2.03,	0.01,	7.40,	0.02
-6.00,	5.00,	-35.00,	-0.5280,	0.0027,	2.22,	0.01,	7.27,	0.02
-6.00,	5.00,	-30.00,	-0.4895,	0.0028,	2.45,	0.01,	7.16,	0.02
-6.00,	5.00,	-25.00,	-0.4481,	0.0028,	2.71,	0.02,	7.07,	0.02
-6.00,	5.00,	-20.00,	-0.3895,	0.0029,	3.05,	0.02,	6.88,	0.02
-6.00,	5.00,	-15.00,	-0.3258,	0.0030,	3.43,	0.02,	6.69,	0.02
-6.00,	5.00,	-10.00,	-0.2383,	0.0031,	3.92,	0.02,	6.35,	0.02
-6.00,	5.00,	-7.50,	-0.1928,	0.0032,	4.16,	0.02,	6.16,	0.02
-6.00,	5.00,	-5.00,	-0.1377,	0.0032,	4.44,	0.02,	5.90,	0.02
-6.00,	5.00,	-2.50,	-0.0885,	0.0032,	4.71,	0.02,	5.67,	0.02
-6.00,	5.00,	0.00,	-0.0289,	0.0033,	4.99,	0.02,	5.36,	0.02
-6.00,	5.00,	2.50,	0.0203,	0.0033,	5.23,	0.02,	5.12,	0.02
-6.00,	5.00,	5.00,	0.0825,	0.0032,	5.52,	0.02,	4.79,	0.02
-6.00,	5.00,	7.50,	0.1392,	0.0032,	5.75,	0.02,	4.48,	0.02
-6.00,	5.00,	10.00,	0.1888,	0.0032,	5.91,	0.02,	4.19,	0.02
-6.00,	5.00,	15.00,	0.2710,	0.0031,	6.21,	0.02,	3.70,	0.02
-6.00,	5.00,	20.00,	0.3447,	0.0030,	6.42,	0.02,	3.25,	0.02
-6.00,	5.00,	25.00,	0.3982,	0.0030,	6.53,	0.02,	2.92,	0.02
-6.00,	5.00,	30.00,	0.4441,	0.0029,	6.63,	0.02,	2.63,	0.02
-6.00,	5.00,	35.00,	0.4882,	0.0028,	6.76,	0.02,	2.37,	0.01
-6.00,	5.00,	40.00,	0.5240,	0.0027,	6.86,	0.02,	2.15,	0.01
-6.00,	5.00,	60.00,	0.6591,	0.0024,	7.44,	0.02,	1.52,	0.01
-6.00,	5.00,	80.00,	0.6807,	0.0031,	5.86,	0.02,	1.08,	0.01
-6.00,	10.00,	-80.00,	-0.8019,	0.0016,	1.88,	0.01,	18.72,	0.06
-6.00,	10.00,	-60.00,	-0.7686,	0.0014,	2.41,	0.01,	19.61,	0.05
-6.00,	10.00,	-40.00,	-0.7024,	0.0018,	2.54,	0.02,	14.85,	0.04
-6.00,	10.00,	-35.00,	-0.6817,	0.0020,	2.67,	0.02,	14.10,	0.04
-6.00,	10.00,	-30.00,	-0.6614,	0.0020,	2.80,	0.02,	13.57,	0.04
-6.00,	10.00,	-25.00,	-0.6268,	0.0022,	3.09,	0.02,	13.17,	0.03
-6.00,	10.00,	-20.00,	-0.5719,	0.0024,	3.59,	0.02,	12.79,	0.03
-6.00,	10.00,	-15.00,	-0.4961,	0.0026,	4.22,	0.02,	12.20,	0.03
-6.00,	10.00,	-10.00,	-0.3754,	0.0028,	5.25,	0.03,	11.34,	0.03
-6.00,	10.00,	-7.50,	-0.2991,	0.0029,	5.92,	0.03,	10.83,	0.03
-6.00,	10.00,	-5.00,	-0.2156,	0.0029,	6.67,	0.03,	10.25,	0.03
-6.00,	10.00,	-2.50,	-0.1251,	0.0030,	7.42,	0.03,	9.58,	0.03
-6.00,	10.00,	0.00,	-0.0325,	0.0030,	8.16,	0.03,	8.86,	0.03
-6.00,	10.00,	2.50,	0.0714,	0.0030,	8.93,	0.03,	7.97,	0.03
-6.00,	10.00,	5.00,	0.1582,	0.0030,	9.51,	0.03,	7.20,	0.03
-6.00,	10.00,	7.50,	0.2466,	0.0030,	10.11,	0.03,	6.41,	0.03
-6.00,	10.00,	10.00,	0.3324,	0.0029,	10.62,	0.03,	5.61,	0.03
-6.00,	10.00,	15.00,	0.4521,	0.0027,	11.38,	0.03,	4.56,	0.03
-6.00,	10.00,	20.00,	0.5391,	0.0025,	11.86,	0.03,	3.77,	0.02
-6.00,	10.00,	25.00,	0.5929,	0.0023,	12.25,	0.03,	3.30,	0.02
-6.00,	10.00,	30.00,	0.6328,	0.0022,	12.60,	0.03,	2.94,	0.02
-6.00,	10.00,	35.00,	0.6519,	0.0021,	13.07,	0.03,	2.80,	0.02
-6.00,	10.00,	40.00,	0.6746,	0.0020,	13.85,	0.04,	2.70,	0.02
-6.00,	10.00,	60.00,	0.7456,	0.0016,	18.17,	0.04,	2.53,	0.02
-6.00,	10.00,	80.00,	0.7805,	0.0018,	17.27,	0.05,	1.97,	0.01
-6.00,	50.00,	-80.00,	-0.9038,	0.0004,	6.27,	0.03,	121.85,	0.30
-6.00,	50.00,	-60.00,	-0.8935,	0.0007,	1.55,	0.01,	27.52,	0.10
-6.00,	50.00,	-40.00,	-0.8621,	0.0011,	0.91,	0.01,	11.02,	0.03
-6.00,	50.00,	-35.00,	-0.8696,	0.0011,	0.79,	0.01,	10.16,	0.03
-6.00,	50.00,	-30.00,	-0.8702,	0.0011,	0.80,	0.01,	10.08,	0.03
-6.00,	50.00,	-25.00,	-0.8916,	0.0010,	0.78,	0.01,	11.99,	0.03
-6.00,	50.00,	-20.00,	-0.9073,	0.0009,	0.75,	0.01,	13.48,	0.03
-6.00,	50.00,	-15.00,	-0.8953,	0.0010,	0.92,	0.01,	14.33,	0.03
-6.00,	50.00,	-10.00,	-0.8031,	0.0014,	1.68,	0.01,	13.71,	0.03
-6.00,	50.00,	-7.50,	-0.6719,	0.0017,	2.92,	0.02,	13.32,	0.03
-6.00,	50.00,	-5.00,	-0.4404,	0.0019,	5.33,	0.02,	12.65,	0.02
-6.00,	50.00,	-2.50,	-0.2043,	0.0018,	8.17,	0.02,	11.95,	0.02
-6.00,	50.00,	0.00,	-0.0336,	0.0017,	10.08,	0.02,	10.81,	0.02
-6.00,	50.00,	2.50,	0.1375,	0.0018,	11.15,	0.02,	8.80,	0.02
-6.00,	50.00,	5.00,	0.3770,	0.0020,	11.71,	0.02,	5.80,	0.02
-6.00,	50.00,	7.50,	0.6286,	0.0019,	12.24,	0.02,	3.17,	0.02
-6.00,	50.00,	10.00,	0.7793,	0.0015,	12.75,	0.02,	1.81,	0.02
-6.00,	50.00,	15.00,	0.8859,	0.0011,	13.33,	0.02,	0.94,	0.01
-6.00,	50.00,	20.00,	0.9011,	0.0010,	12.60,	0.02,	0.78,	0.01
-6.00,	50.00,	25.00,	0.8818,	0.0011,	11.13,	0.03,	0.82,	0.01
-6.00,	50.00,	30.00,	0.8641,	0.0012,	9.44,	0.02,	0.80,	0.01
-6.00,	50.00,	35.00,	0.8587,	0.0012,	9.32,	0.02,	0.81,	0.01
-6.00,	50.00,	40.00,	0.8540,	0.0011,	10.10,	0.03,	0.90,	0.01
-6.00,	50.00,	60.00,	0.8940,	0.0007,	25.73,	0.10,	1.45,	0.01
-6.00,	50.00,	80.00,	0.8985,	0.0004,	111.50,	0.28,	6.07,	0.03
-6.00,	100.00,	-80.00,	-0.9086,	0.0003,	9.18,	0.04,	181.76,	0.55
-6.00,	100.00,	-60.00,	-0.8911,	0.0006,	1.43,	0.01,	24.13,	0.07
-6.00,	100.00,	-40.00,	-0.8700,	0.0010,	0.84,	0.01,	10.95,	0.03
-6.00,	100.00,	-35.00,	-0.8716,	0.0011,	0.75,	0.01,	9.76,	0.03
-6.00,	100.00,	-30.00,	-0.8668,	0.0011,	0.80,	0.01,	9.82,	0.02
-6.00,	100.00,	-25.00,	-0.8954,	0.0009,	0.74,	0.01,	11.85,	0.03
-6.00,	100.00,	-20.00,	-0.9166,	0.0008,	0.68,	0.01,	13.62,	0.03
-6.00,	100.00,	-15.00,	-0.9190,	0.0008,	0.72,	0.01,	14.73,	0.03
-6.00,	100.00,	-10.00,	-0.8635,	0.0010,	1.15,	0.01,	13.94,	0.02
-6.00,	100.00,	-7.50,	-0.7582,	0.0014,	2.02,	0.01,	13.34,	0.02
-6.00,	100.00,	-5.00,	-0.4548,	0.0017,	5.08,	0.02,	12.77,	0.02
-6.00,	100.00,	-2.50,	-0.1696,	0.0015,	8.86,	0.02,	12.28,	0.02
-6.00,	100.00,	0.00,	-0.0361,	0.0014,	10.72,	0.02,	11.53,	0.02
-6.00,	100.00,	2.50,	0.0977,	0.0015,	11.57,	0.02,	9.68,	0.02
-6.00,	100.00,	5.00,	0.3876,	0.0018,	11.87,	0.02,	5.62,	0.02
-6.00,	100.00,	7.50,	0.7213,	0.0015,	12.16,	0.02,	2.20,	0.01
-6.00,	100.00,	10.00,	0.8477,	0.0011,	12.96,	0.02,	1.21,	0.01
-6.00,	100.00,	15.00,	0.9108,	0.0009,	13.65,	0.02,	0.76,	0.01
-6.00,	100.00,	20.00,	0.9099,	0.0009,	12.70,	0.02,	0.70,	0.01
-6.00,	100.00,	25.00,	0.8885,	0.0010,	11.09,	0.03,	0.76,	0.01
-6.00,	100.00,	30.00,	0.8576,	0.0012,	9.24,	0.03,	0.81,	0.01
-6.00,	100.00,	35.00,	0.8611,	0.0012,	9.04,	0.03,	0.76,	0.01
-6.00,	100.00,	40.00,	0.8582,	0.0011,	10.11,	0.03,	0.87,	0.01
-6.00,	100.00,	60.00,	0.8964,	0.0007,	22.53,	0.06,	1.28,	0.01
-6.00,	100.00,	80.00,	0.9044,	0.0003,	167.00,	0.50,	8.79,	0.04
-4.00,	5.00,	-80.00,	-0.7039,	0.0029,	1.02,	0.01,	6.25,	0.03
-4.00,	5.00,	-60.00,	-0.6777,	0.0023,	1.48,	0.01,	7.89,	0.02
-4.00,	5.00,	-40.00,	-0.5539,	0.0026,	2.07,	0.01,	7.30,	0.02
-4.00,	5.00,	-35.00,	-0.5219,	0.0027,	2.23,	0.01,	7.16,	0.02
-4.00,	5.00,	-30.00,	-0.4871,	0.0028,	2.46,	0.01,	7.09,	0.02
-4.00,	5.00,	-25.00,	-0.4389,	0.0029,	2.75,	0.02,	6.99,	0.02
-4.00,	5.00,	-20.00,	-0.3840,	0.0030,	3.08,	0.02,	6.84,	0.02
-4.00,	5.00,	-15.00,	-0.3150,	0.0030,	3.48,	0.02,	6.60,	0.02
-4.00,	5.00,	-10.00,	-0.2329,	0.0031,	3.96,	0.02,	6.30,	0.02
-4.00,	5.00,	-7.50,	-0.1815,	0.0032,	4.23,	0.02,	6.07,	0.02
-4.00,	5.00,	-5.00,	-0.1233,	0.0032,	4.51,	0.02,	5.79,	0.02
-4.00,	5.00,	-2.50,	-0.0761,	0.0032,	4.76,	0.02,	5.59,	0.02
-4.00,	5.00,	0.00,	-0.0254,	0.0032,	5.02,	0.02,	5.36,	0.02
-4.00,	5.00,	2.50,	0.0398,	0.0032,	5.32,	0.02,	5.00,	0.02
-4.00,	5.00,	5.00,	0.0924,	0.0032,	5.54,	0.02,	4.71,	0.02
-4.00,	5.00,	7.50,	0.1483,	0.0032,	5.78,	0.02,	4.42,	0.02
-4.00,	5.00,	10.00,	0.1929,	0.0032,	5.99,	0.02,	4.18,	0.02
-4.00,	5.00,	15.00,	0.2785,	0.0031,	6.28,	0.02,	3.66,	0.02
-4.00,	5.00,	20.00,	0.3546,	0.0030,	6.47,	0.02,	3.19,	0.02
-4.00,	5.00,	25.00,	0.4095,	0.0030,	6.61,	0.02,	2.85,	0.02
-4.00,	5.00,	30.00,	0.4567,	0.0029,	6.71,	0.02,	2.57,	0.02
-4.00,	5.00,	35.00,	0.4889,	0.0028,	6.79,	0.02,	2.38,	0.01
-4.00,	5.00,	40.00,	0.5277,	0.0027,	6.90,	0.02,	2.16,	0.01
-4.00,	5.00,	60.00,	0.6610,	0.0024,	7.50,	0.02,	1.52,	0.01
-4.00,	5.00,	80.00,	0.6888,	0.0030,	5.93,	0.02,	1.06,	0.01
-4.00,	10.00,	-80.00,	-0.8013,	0.0016,	1.92,	0.01,	18.70,	0.06
-4.00,	10.00,	-60.00,	-0.7629,	0.0015,	2.44,	0.02,	19.27,	0.05
-4.00,	10.00,	-40.00,	-0.6980,	0.0019,	2.58,	0.02,	14.71,	0.04
-4.00,	10.00,	-35.00,	-0.6787,	0.0020,	2.67,	0.02,	13.94,	0.04
-4.00,	10.00,	-30.00,	-0.6563,	0.0021,	2.83,	0.02,	13.43,	0.03
-4.00,	10.00,	-25.00,	-0.6220,	0.0022,	3.13,	0.02,	13.01,	0.03
-4.00,	10.00,	-20.00,	-0.5672,	0.0024,	3.58,	0.02,	12.60,	0.03
-4.00,	10.00,	-15.00,	-0.4937,	0.0026,	4.23,	0.02,	12.10,	0.03
-4.00,	10.00,	-10.00,	-0.3687,	0.0028,	5.34,	0.03,	11.27,	0.03
-4.00,	10.00,	-7.50,	-0.2881,	0.0029,	6.01,	0.03,	10.67,	0.03
-4.00,	10.00,	-5.00,	-0.2108,	0.0030,	6.72,	0.03,	10.17,	0.03
-4.00,	10.00,	-2.50,	-0.1117,	0.0030,	7.54,	0.03,	9.44,	0.03
-4.00,	10.00,	0.00,	-0.0251,	0.0030,	8.27,	0.03,	8.76,	0.03
-4.00,	10.00,	2.50,	0.0797,	0.0030,	9.06,	0.03,	7.92,	0.03
-4.00,	10.00,	5.00,	0.1746,	0.0030,	9.67,	0.03,	7.08,	0.03
-4.00,	10.00,	7.50,	0.2554,	0.0029,	10.21,	0.03,	6.30,	0.03
-4.00,	10.00,	10.00,	0.3369,	0.0029,	10.76,	0.03,	5.60,	0.03
-4.00,	10.00,	15.00,	0.4610,	0.0027,	11.51,	0.03,	4.47,	0.03
-4.00,	10.00,	20.00,	0.5445,	0.0025,	12.06,	0.03,	3.74,	0.02
-4.00,	10.00,	25.00,	0.5958,	0.0023,	12.38,	0.03,	3.27,	0.02
-4.00,	10.00,	30.00,	0.6340,	0.0022,	12.73,	0.03,	2.94,	0.02
-4.00,	10.00,	35.00,	0.6581,	0.0021,	13.34,	0.04,	2.77,	0.02
-4.00,	10.00,	40.00,	0.6797,	0.0019,	13.99,	0.04,	2.66,	0.02
-4.00,	10.00,	60.00,	0.7476,	0.0016,	18.33,	0.04,	2.53,	0.02
-4.00,	10.00,	80.00,	0.7861,	0.0017,	17.53,	0.05,	1.95,	0.01
-4.00,	50.00,	-80.00,	-0.9028,	0.0004,	6.24,	0.03,	120.04,	0.30
-4.00,	50.00,	-60.00,	-0.8953,	0.0007,	1.52,	0.01,	27.39,	0.10
-4.00,	50.00,	-40.00,	-0.8614,	0.0011,	0.90,	0.01,	10.91,	0.03
-4.00,	50.00,	-35.00,	-0.8691,	0.0011,	0.80,	0.01,	10.00,	0.03
-4.00,	50.00,	-30.00,	-0.8678,	0.0011,	0.80,	0.01,	10.01,	0.03
-4.00,	50.00,	-25.00,	-0.8898,	0.0010,	0.79,	0.01,	11.79,	0.03
-4.00,	50.00,	-20.00,	-0.9064,	0.0009,	0.76,	0.01,	13.27,	0.03
-4.00,	50.00,	-15.00,	-0.8943,	0.0010,	0.92,	0.01,	14.11,	0.03
-4.00,	50.00,	-10.00,	-0.8000,	0.0014,	1.70,	0.01,	13.56,	0.02
-4.00,	50.00,	-7.50,	-0.6635,	0.0018,	2.96,	0.02,	13.06,	0.02
-4.00,	50.00,	-5.00,	-0.4281,	0.0019,	5.44,	0.02,	12.50,	0.02
-4.00,	50.00,	-2.50,	-0.1937,	0.0018,	8.24,	0.02,	11.77,	0.02
-4.00,	50.00,	0.00,	-0.0216,	0.0017,	10.23,	0.02,	10.70,	0.02
-4.00,	50.00,	2.50,	0.1436,	0.0018,	11.27,	0.02,	8.79,	0.03
-4.00,	50.00,	5.00,	0.3842,	0.0020,	11.85,	0.02,	5.77,	0.02
